runID,Model Form,Antigenic Seniority,Cross Reactivity,Priming,Typed exposures,Waning,Titre dependent boosting,BIC,WAIC,Minimum ESS Parameter,Minimum ESS Value,Max Gelman PSRF Parameter,Max Gelman PSRF,Gelman MPSRF,δWAIC,δBIC
91,Isolated,Absent,Universal,Present,3 types,Monophasic,Absent,1077.0085422634,1152.7907142094,c,82851.505992877,β,1.0004626206,1.0002667848,240.4556190519,59.1368573369
58,Competitive,Present,Type specific,Present,6 types,Monophasic,Absent,1092.4384097695,1163.4097537881,μ4,13901.018824155,σ,1.0216170364,1.0010901909,251.0746586306,74.566724843
102,Isolated,Present,Type specific,Absent,6 types,Biphasic,Present,1289.7881497924,1164.0970699731,ts1,2822.9078173486,σ4,1.0139295457,1.0053361504,251.7619748156,271.9164648659
50,Competitive,Present,Type specific,Present,6 types,Monophasic,Present,1073.9504189324,1168.2549980579,m2,8430.4330191551,σ,1.0080956759,1.0011665888,255.9199029004,56.0787340059
38,Competitive,Present,Type specific,Absent,6 types,Biphasic,Present,1251.2519218154,1171.3870428933,ts4,737.2666913225,m5,1.2920025502,1.0156968012,259.0519477358,233.3802368889
71,Isolated,Absent,Universal,Absent,3 types,Biphasic,Present,1222.4817512677,1173.575489003,dp,4668.7218578826,m,1.0062149245,1.0023531341,261.2403938455,204.6100663412
69,Isolated,Absent,Universal,Absent,6 types,Biphasic,Present,1276.9320604226,1174.15416233,y_limit,901.0272401798,y_limit,1.037512727,1.0175477313,261.8190671725,259.0603754961
65,Isolated,Absent,Universal,Absent,6 types,Monophasic,Present,1230.531219631,1175.1025800282,μ2,8784.9012721877,m,1.009845585,1.0011124795,262.7674848707,212.6595347045
92,Isolated,Absent,Type specific,Present,3 types,Monophasic,Absent,1074.8037388261,1178.742887023,σ,65602.6496594294,σ,1.0010019068,1.0001630357,266.4077918655,56.9320538996
13,Competitive,Absent,Universal,Absent,6 types,Biphasic,Absent,1288.659734751,1178.9839803016,m1,2681.4013951935,μ2,1.0122313592,1.0039338573,266.6488851441,270.7880498245
103,Isolated,Present,Universal,Absent,3 types,Biphasic,Present,1242.4243354169,1179.7736830913,dp,6061.764051679,m,1.0036164067,1.0018000922,267.4385879338,224.5526504904
97,Isolated,Present,Universal,Absent,6 types,Monophasic,Present,1249.0572617836,1181.2479521836,m2,4647.3912124504,m,1.0391867732,1.0050611835,268.9128570261,231.1855768571
37,Competitive,Present,Universal,Absent,6 types,Biphasic,Present,1265.1786649943,1182.7929478614,μ5,944.7351613947,m5,1.0795833221,1.0126223784,270.4578527039,247.3069800678
72,Isolated,Absent,Type specific,Absent,3 types,Biphasic,Present,1231.3844927114,1183.1675977355,dp,5531.9853536773,σ,1.0148720675,1.0020514809,270.832502578,213.5128077849
46,Competitive,Present,Type specific,Absent,6 types,Biphasic,Absent,1281.1599419158,1183.4341553461,σ2,1644.1537447748,σ1,1.1941758295,1.0142943581,271.0990601886,263.2882569893
14,Competitive,Absent,Type specific,Absent,6 types,Biphasic,Absent,1293.8405464112,1184.3611906301,m1,1376.90771872,σ2,1.098895307,1.0194965574,272.0260954726,275.9688614847
101,Isolated,Present,Universal,Absent,6 types,Biphasic,Present,1289.7948294328,1186.2990983489,ts1,2893.1234364464,ρ2,1.0406503098,1.0072328035,273.9640031914,271.9231445063
70,Isolated,Absent,Type specific,Absent,6 types,Biphasic,Present,1296.2392094601,1186.3860254686,y_limit,564.0212018778,σ2,1.0240601849,1.0143348465,274.0509303111,278.3675245336
104,Isolated,Present,Type specific,Absent,3 types,Biphasic,Present,1250.0420383231,1188.9093204739,dp1,8061.4611227814,σ,1.0483981638,1.0022368892,276.5742253164,232.1703533966
110,Isolated,Present,Type specific,Absent,6 types,Biphasic,Absent,1325.7329470497,1194.9124002573,dp1,5814.1689639559,σ,1.0144448624,1.0051720643,282.5773050998,307.8612621232
98,Isolated,Present,Type specific,Absent,6 types,Monophasic,Present,1268.045839305,1198.8621598045,m3,16275.2779402036,σ4,1.0257745332,1.0016941173,286.527064647,250.1741543785
109,Isolated,Present,Universal,Absent,6 types,Biphasic,Absent,1323.1510037128,1204.2264983496,ts1,3719.4370972024,ts1,1.0090714179,1.0059387812,291.8914031921,305.2793187863
45,Competitive,Present,Universal,Absent,6 types,Biphasic,Absent,1307.4628967573,1209.1224938802,ts1,3257.0790464393,ts5,1.0096425035,1.0029505031,296.7873987227,289.5912118308
6,Competitive,Absent,Type specific,Absent,6 types,Biphasic,Present,1244.5872843335,1213.0258214392,μ1,385.3381000157,σ2,1.3113190568,1.0390152685,300.6907262817,226.715599407
106,Isolated,Present,Type specific,Absent,6 types,Monophasic,Absent,1281.9961774575,1213.2579980712,m2,27128.3753389715,m3,1.1036093507,1.0005117831,300.9229029137,264.124492531
66,Isolated,Absent,Type specific,Absent,6 types,Monophasic,Present,1273.5696082466,1213.8340733256,m2,8965.0185817443,σ2,1.1005006855,1.0015304755,301.4989781681,255.6979233201
33,Competitive,Present,Universal,Absent,6 types,Monophasic,Present,1242.4293152641,1216.9730764969,m2,12384.6358360057,μ5,1.0006236793,1.0003769484,304.6379813394,224.5576303376
1,Competitive,Absent,Universal,Absent,6 types,Monophasic,Present,1233.5595221994,1224.0632727596,μ2,13516.3322341332,μ2,1.0029947743,1.0011605978,311.7281776021,215.6878372729
80,Isolated,Absent,Type specific,Absent,3 types,Biphasic,Absent,1272.8088594518,1225.9552569365,ts2,5931.3793552901,m,1.0009241974,1.0003900085,313.620161779,254.9371745253
39,Competitive,Present,Universal,Absent,3 types,Biphasic,Present,1237.3943289238,1227.41606163,ts2,10101.2512371631,ts1,1.0125579971,1.0016685258,315.0809664725,219.5226439973
79,Isolated,Absent,Universal,Absent,3 types,Biphasic,Absent,1273.9483862709,1229.0066401815,ts2,6777.3730167805,Log likelihood,1.0041048899,1.0020095416,316.671545024,256.0767013444
112,Isolated,Present,Type specific,Absent,3 types,Biphasic,Absent,1291.0254995624,1229.4163454422,ts2,7524.1213759771,ts2,1.0097700431,1.0028936551,317.0812502847,273.1538146359
77,Isolated,Absent,Universal,Absent,6 types,Biphasic,Absent,1336.8170239767,1229.4338199263,μ1,4817.9993251785,ts1,1.0053230823,1.0029169958,317.0987247688,318.9453390502
105,Isolated,Present,Universal,Absent,6 types,Monophasic,Absent,1291.0927363878,1229.7694268094,m2,45839.7214707124,m2,1.0007590049,1.0003234769,317.4343316519,273.2210514613
83,Isolated,Absent,Universal,Present,3 types,Monophasic,Present,1084.1470927929,1231.6179371442,m,16988.8066862167,m,1.0035298022,1.0012013614,319.2828419867,66.2754078664
99,Isolated,Present,Universal,Absent,3 types,Monophasic,Present,1256.5007577781,1232.2193534239,y_limit,48211.2128824409,m,1.0005324872,1.0003891236,319.8842582664,238.6290728516
67,Isolated,Absent,Universal,Absent,3 types,Monophasic,Present,1242.3495993236,1232.769720803,y_limit,31714.6591071911,y_limit,1.0017066292,1.0004959434,320.4346256455,224.4779143971
111,Isolated,Present,Universal,Absent,3 types,Biphasic,Absent,1292.8592476037,1233.6708642334,ts2,6567.4412877688,ts2,1.0018816358,1.0009572848,321.3357690759,274.9875626772
73,Isolated,Absent,Universal,Absent,6 types,Monophasic,Absent,1285.8993001148,1233.9048438412,m2,7678.757361102,m,1.0182911095,1.0013900734,321.5697486837,268.0276151883
7,Competitive,Absent,Universal,Absent,3 types,Biphasic,Present,1223.6747774119,1236.0364671162,ts2,15977.6913605014,y_limit,1.0008217406,1.0005388121,323.7013719587,205.8030924854
27,Competitive,Absent,Universal,Present,3 types,Monophasic,Absent,1108.2230601972,1236.3354990897,β,100442.305337705,c,1.0003124692,1.000226165,324.0004039322,90.3513752707
26,Competitive,Absent,Type specific,Present,6 types,Monophasic,Absent,1110.1220662142,1237.29892199,μ2,8762.2491039093,σ,1.0062711511,1.0017622043,324.9638268325,92.2503812877
40,Competitive,Present,Type specific,Absent,3 types,Biphasic,Present,1235.4414617963,1238.2869393136,ts2,13636.7062153056,ts1,1.0096571061,1.0010093431,325.9518441561,217.5697768698
78,Isolated,Absent,Type specific,Absent,6 types,Biphasic,Absent,1348.0285852049,1239.7305946812,μ1,2902.6223660549,μ4,1.0044545024,1.0027460794,327.3954995237,330.1569002784
8,Competitive,Absent,Type specific,Absent,3 types,Biphasic,Present,1217.8404869635,1240.0297155049,ts2,14984.8382897653,σ,1.010301373,1.0007957366,327.6946203474,199.968802037
75,Isolated,Absent,Universal,Absent,3 types,Monophasic,Absent,1268.1896336457,1243.4268536441,μ,111675.793024262,σ,1.0004400514,1.0001902185,331.0917584866,250.3179487192
107,Isolated,Present,Universal,Absent,3 types,Monophasic,Absent,1286.0433936953,1247.6936225152,μ,103566.016042801,σ,1.0001104716,1.0001001221,335.3585273577,268.1717087688
55,Competitive,Present,Universal,Present,3 types,Biphasic,Present,1047.3457333245,1247.7631652563,γ,6313.0741778223,m,1.1132066684,1.0031136733,335.4280700988,29.474048398
41,Competitive,Present,Universal,Absent,6 types,Monophasic,Absent,1283.9994081074,1248.5057237808,m2,12498.5185863231,m2,1.0026208599,1.0010031885,336.1706286233,266.1277231809
9,Competitive,Absent,Universal,Absent,6 types,Monophasic,Absent,1268.7615172985,1249.1027139627,μ2,16750.3122827384,m2,1.0003234672,1.0003364465,336.7676188052,250.889832372
2,Competitive,Absent,Type specific,Absent,6 types,Monophasic,Present,1260.5723149354,1251.0953889448,m3,9666.8343240768,m3,1.0043886621,1.0023068888,338.7602937873,242.7006300089
100,Isolated,Present,Type specific,Absent,3 types,Monophasic,Present,1290.6449183658,1261.9036133278,m,18216.005653909,σ,1.0116312839,1.000777529,349.5685181703,272.7732334393
76,Isolated,Absent,Type specific,Absent,3 types,Monophasic,Absent,1285.3555782066,1262.7017731804,μ,85208.2492915752,m,1.262407597,1.0008287089,350.3666780229,267.4838932801
74,Isolated,Absent,Type specific,Absent,6 types,Monophasic,Absent,1308.325424042,1264.3646366805,μ1,1327.7571643012,m,1.0404846918,1.0114145609,352.029541523,290.4537391155
48,Competitive,Present,Type specific,Absent,3 types,Biphasic,Absent,1276.4083157455,1265.0812712019,ts1,5869.5491677125,m,1.0512915991,1.001348149,352.7461760444,258.536630819
47,Competitive,Present,Universal,Absent,3 types,Biphasic,Absent,1279.6389079982,1266.3247055735,μ1,1881.4121534209,μ1,1.0241242081,1.002706146,353.989610416,261.7672230717
108,Isolated,Present,Type specific,Absent,3 types,Monophasic,Absent,1303.0237727042,1266.9438007139,μ,87443.8988266266,m,1.1571845014,1.0002104279,354.6087055564,285.1520877777
28,Competitive,Absent,Type specific,Present,3 types,Monophasic,Absent,1113.4927967434,1274.6210599556,c,87214.7975436848,β,1.0005108198,1.0002448741,362.2859647981,95.6211118169
16,Competitive,Absent,Type specific,Absent,3 types,Biphasic,Absent,1265.9944663412,1276.8492241479,ts1,456.2108543391,m,1.0971790498,1.0042075965,364.5141289904,248.1227814147
68,Isolated,Absent,Type specific,Absent,3 types,Monophasic,Present,1277.4506885676,1277.6711844313,μ,8302.4790560931,σ,1.0076607919,1.0020286394,365.3360892738,259.5790036411
35,Competitive,Present,Universal,Absent,3 types,Monophasic,Present,1248.6682109326,1278.1426646134,μ1,60076.0217293495,m2,1.0004000899,1.0003484653,365.8075694559,230.7965260061
10,Competitive,Absent,Type specific,Absent,6 types,Monophasic,Absent,1289.4445299064,1278.5049128566,σ3,6702.2735681527,σ4,1.0114692488,1.0010688345,366.1698176991,271.5728449799
15,Competitive,Absent,Universal,Absent,3 types,Biphasic,Absent,1270.4729237656,1279.7290207173,ts1,1500.8354959849,μ1,1.0214713377,1.0038664081,367.3939255598,252.6012388391
42,Competitive,Present,Type specific,Absent,6 types,Monophasic,Absent,1307.6326826884,1281.1829551493,σ3,3674.4153857454,σ3,1.1153235834,1.0265230079,368.8478599918,289.7609977619
43,Competitive,Present,Universal,Absent,3 types,Monophasic,Absent,1293.6303903421,1293.9633703263,μ1,90867.5533992072,m,1.0003249992,1.0002177446,381.6282751688,275.7587054156
11,Competitive,Absent,Universal,Absent,3 types,Monophasic,Absent,1299.5084128038,1314.2898024394,m,86083.070560287,m,1.0093118991,1.000096354,401.9547072819,281.6367278773
34,Competitive,Present,Type specific,Absent,6 types,Monophasic,Present,1273.6913132608,1332.8076570724,σ,1473.0482969,σ2,1.0473522501,1.013525104,420.4725619149,255.8196283343
44,Competitive,Present,Type specific,Absent,3 types,Monophasic,Absent,1313.1595267747,1338.9681745873,μ,77603.4275005474,σ,1.0031905898,1.0003158913,426.6330794298,295.2878418482
12,Competitive,Absent,Type specific,Absent,3 types,Monophasic,Absent,1302.9636934164,1360.3663478318,σ,104080.965449489,σ,1.0024344577,1.0002230715,448.0312526743,285.0920084899
36,Competitive,Present,Type specific,Absent,3 types,Monophasic,Present,1289.3947460986,1365.7202712681,ρ3,21120.6880265904,ρ3,1.0018778698,1.0007213801,453.3851761106,271.5230611721
25,Competitive,Absent,Universal,Present,6 types,Monophasic,Absent,1124.3879069779,1370.8754038046,μ4,22581.5568403159,μ4,1.0017588578,1.0007799872,458.5403086471,106.5162220514
84,Isolated,Absent,Type specific,Present,3 types,Monophasic,Present,1080.5113169427,1374.1616842064,β,8795.7010792541,σ,1.0041746153,1.0008520604,461.8265890489,62.6396320162
4,Competitive,Absent,Type specific,Absent,3 types,Monophasic,Present,1274.9637415329,1377.2303963648,σ,45845.6975878369,m,1.0004096538,1.0001528301,464.8953012073,257.0920566064
3,Competitive,Absent,Universal,Absent,3 types,Monophasic,Present,1266.8265500404,1399.7458209761,m,8198.0680581881,m,1.0091760411,1.002181868,487.4107258186,248.9548651139
116,Isolated,Present,Type specific,Present,3 types,Monophasic,Present,1074.5802909748,1466.8556901498,m2,1962.0308021853,σ,1.0039238479,1.0013380747,554.5205949923,56.7086060483
